"NombreMunicipio","CodigoMunicipio","Ubicación","NombreRegion","CodigoRegion","Anio","CausaMortalidad","TipoPoblacionObjetivo","NumeroPoblacionObjetivo","NumeroCasos"
"Abejorral","05002","POINT (-75.427045 5.79145)","ORIENTE","7","2005","Suicidios","Poblacion total","22,942","2"
"Abriaquí","05004","POINT (-76.064563 6.63197)","OCCIDENTE","6","2005","Suicidios","Poblacion total","2,719","0"
"Alejandría","05021","POINT (-75.141258 6.376923)","ORIENTE","7","2005","Suicidios","Poblacion total","4,724","0"
"Amagá","05030","POINT (-75.703216 6.04063)","SUROESTE","8","2005","Suicidios","Poblacion total","27,121","0"
"Amalfi","05031","POINT (-75.075028 6.907385)","NORDESTE","4","2005","Suicidios","Poblacion total","22,933","2"
"Andes","05034","POINT (-75.877699 5.655629)","SUROESTE","8","2005","Suicidios","Poblacion total","41,876","6"
"Angelópolis","05036","POINT (-75.710262 6.111531)","SUROESTE","8","2005","Suicidios","Poblacion total","5,865","0"
"Angostura","05038","POINT (-75.334973 6.885789)","NORTE","5","2005","Suicidios","Poblacion total","12,193","0"
"Anorí","05040","POINT (-75.145827 7.073577)","NORDESTE","4","2005","Suicidios","Poblacion total","15,853","2"
"Anzá","05044","POINT (-75.854027 6.303405)","OCCIDENTE","6","2005","Suicidios","Poblacion total","6,830","0"
"Apartadó","05045","POINT (-76.630692 7.887047)","URABA","9","2005","Suicidios","Poblacion total","91,677","5"
"Arboletes","05051","POINT (-76.427353 8.852936)","URABA","9","2005","Suicidios","Poblacion total","29,229","1"
"Argelia","05055","POINT (-75.142821 5.731236)","ORIENTE","7","2005","Suicidios","Poblacion total","9,589","0"
"Armenia","05059","POINT (-75.787666 6.156497)","OCCIDENTE","6","2005","Suicidios","Poblacion total","5,964","1"
"Barbosa","05079","POINT (-75.331286 6.437248)","VALLE DE ABURRA","1","2005","Suicidios","Poblacion total","43,604","2"
"Bello","05088","POINT (-75.558281 6.334985)","VALLE DE ABURRA","1","2005","Suicidios","Poblacion total","399,798","19"
"Belmira","05086","POINT (-75.667252 6.606713)","NORTE","5","2005","Suicidios","Poblacion total","5,915","1"
"Betania","05091","POINT (-75.976261 5.745292)","SUROESTE","8","2005","Suicidios","Poblacion total","11,514","1"
"Betulia","05093","POINT (-75.984594 6.113454)","SUROESTE","8","2005","Suicidios","Poblacion total","15,629","1"
"Briceño","05107","POINT (-75.551532 7.110465)","NORTE","5","2005","Suicidios","Poblacion total","8,475","1"
"Buriticá","05113","POINT (-75.907102 6.719872)","OCCIDENTE","6","2005","Suicidios","Poblacion total","8,476","0"
"Cáceres","05120","POINT (-75.347874 7.582281)","BAJO CAUCA","2","2005","Suicidios","Poblacion total","24,999","1"
"Caicedo","05125","POINT (-75.982545 6.406072)","OCCIDENTE","6","2005","Suicidios","Poblacion total","7,758","2"
"Caldas","05129","POINT (-75.635534 6.09199)","VALLE DE ABURRA","1","2005","Suicidios","Poblacion total","65,095","5"
"Campamento","05134","POINT (-75.29634 6.979113)","NORTE","5","2005","Suicidios","Poblacion total","9,758","0"
"Cañasgordas","05138","POINT (-76.025603 6.749957)","OCCIDENTE","6","2005","Suicidios","Poblacion total","17,308","0"
"Caracolí","05142","POINT (-74.756712 6.410876)","MAGDALENA MEDIO","3","2005","Suicidios","Poblacion total","5,324","0"
"Caramanta","05145","POINT (-75.644483 5.548681)","SUROESTE","8","2005","Suicidios","Poblacion total","6,040","1"
"Carepa","05147","POINT (-76.655568 7.755937)","URABA","9","2005","Suicidios","Poblacion total","34,439","5"
"Carolina","05150","POINT (-75.281494 6.723626)","NORTE","5","2005","Suicidios","Poblacion total","3,855","0"
"Caucasia","05154","POINT (-75.197397 7.989436)","BAJO CAUCA","2","2005","Suicidios","Poblacion total","70,630","1"
"Chigorodó","05172","POINT (-76.685044 7.672652)","URABA","9","2005","Suicidios","Poblacion total","44,126","1"
"Cisneros","05190","POINT (-75.087684 6.538526)","NORDESTE","4","2005","Suicidios","Poblacion total","9,518","0"
"Ciudad Bolívar","05101","POINT (-76.020994 5.850015)","SUROESTE","8","2005","Suicidios","Poblacion total","27,346","4"
"Cocorná","05197","POINT (-75.185273 6.057769)","ORIENTE","7","2005","Suicidios","Poblacion total","19,094","1"
"Concepción","05206","POINT (-75.259425 6.394975)","ORIENTE","7","2005","Suicidios","Poblacion total","5,448","0"
"Concordia","05209","POINT (-75.907256 6.046154)","SUROESTE","8","2005","Suicidios","Poblacion total","21,547","1"
"Copacabana","05212","POINT (-75.508181 6.346097)","VALLE DE ABURRA","1","2005","Suicidios","Poblacion total","63,378","2"
"Dabeiba","05234","POINT (-76.266682 7.001567)","OCCIDENTE","6","2005","Suicidios","Poblacion total","22,271","0"
"Donmatías","05237","POINT (-75.394608 6.486305)","NORTE","5","2005","Suicidios","Poblacion total","16,062","1"
"Ebéjico","05240","POINT (-75.768514 6.326468)","OCCIDENTE","6","2005","Suicidios","Poblacion total","13,648","1"
"El Bagre","05250","POINT (-74.812977 7.60005)","BAJO CAUCA","2","2005","Suicidios","Poblacion total","39,272","1"
"El Carmen de Viboral","05148","POINT (-75.335351 6.083283)","ORIENTE","7","2005","Suicidios","Poblacion total","48,245","4"
"El Peñol","05541","POINT (-75.161743 6.234274)","ORIENTE","7","2005","Suicidios","Poblacion total","18,498","1"
"El Retiro","05607","POINT (-75.502683 6.057336)","ORIENTE","7","2005","Suicidios","Poblacion total","18,801","2"
"El Santuario","05697","POINT (-75.265676 6.139528)","ORIENTE","7","2005","Suicidios","Poblacion total","30,825","1"
"Entrerríos","05264","POINT (-75.517037 6.567385)","NORTE","5","2005","Suicidios","Poblacion total","8,983","0"
"Envigado","05266","POINT (-75.587333 6.16996)","VALLE DE ABURRA","1","2005","Suicidios","Poblacion total","174,501","17"
"Fredonia","05282","POINT (-75.671749 5.927145)","SUROESTE","8","2005","Suicidios","Poblacion total","24,304","1"
"Frontino","05284","POINT (-76.128568 6.77975)","OCCIDENTE","6","2005","Suicidios","Poblacion total","22,850","1"
"Giraldo","05306","POINT (-75.953365 6.680421)","OCCIDENTE","6","2005","Suicidios","Poblacion total","4,892","0"
